7:
 num     #instances         #bytes  class name (module)
 121:           966          15456  java.lang.Integer (java.base@21.0.12)
 122:           482          15424  java.lang.module.ModuleDescriptor$Requires (java.base@21.0.12)
 123:           613          14712  java.util.concurrent.ConcurrentLinkedDeque (java.base@21.0.12)
 124:           459          14688  sun.reflect.generics.repository.ClassRepository (java.base@21.0.12)
 125:           366          14640  org.antlr.v4.runtime.atn.LexerATNConfig
 126:           596          14304  org.springframework.core.convert.converter.GenericConverter$ConvertiblePair
 127:           576          13824  java.util.LinkedHashMap$LinkedValues (java.base@21.0.12)
 128:           427          13664  java.lang.invoke.MethodTypeForm (java.base@21.0.12)
 129:           560          13440  org.antlr.v4.runtime.atn.AtomTransition
 130:           419          13408  java.util.RegularEnumSet (java.base@21.0.12)
 131:           276          13248  java.util.WeakHashMap (java.base@21.0.12)
 132:           331          13240  java.util.TreeMap$Entry (java.base@21.0.12)
 133:           203          12992  java.lang.module.ModuleDescriptor (java.base@21.0.12)
 134:           404          12928  jdk.jfr.SettingDescriptor (jdk.jfr@21.0.12)
 135:           224          12544  org.h2.mvstore.Page$NonLeaf
 136:           516          12384  sun.reflect.generics.factory.CoreReflectionFactory (java.base@21.0.12)
 137:           514          12336  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl (java.base@21.0.12)
 138:           510          12320  [Lorg.springframework.core.ResolvableType;
 139:           101          12120  org.h2.table.TableFilter
 140:            99          11880  org.springframework.beans.factory.annotation.AnnotatedGenericBeanDefinition
 141:           368          11776  java.lang.ref.WeakReference (java.base@21.0.12)
 142:           359          11488  org.antlr.v4.runtime.atn.SingletonPredictionContext
 143:           478          11472  java.util.ImmutableCollections$ListN (java.base@21.0.12)
 144:           118          11328  org.springframework.boot.loader.net.protocol.jar.UrlNestedJarFile
 145:           235          11280  java.lang.invoke.MethodHandleImpl$AsVarargsCollector (java.base@21.0.12)
 146:           156          11232  org.springframework.beans.factory.support.ConstructorResolver$ConstructorDependencyDescriptor
 147:           200          11200  jdk.internal.module.ModuleReferenceImpl (java.base@21.0.12)
 148:           460          11040  sun.reflect.generics.scope.ClassScope (java.base@21.0.12)
 149:           459          11016  java.util.ImmutableCollections$SetN (java.base@21.0.12)
 150:           459          11016  sun.reflect.generics.tree.ClassSignature (java.base@21.0.12)
 151:           341          10912  jdk.internal.math.FDBigInteger (java.base@21.0.12)
 152:           270          10800  org.antlr.v4.runtime.atn.BlockEndState
 153:           269          10760  org.springframework.core.type.classreading.SimpleMethodMetadata
 154:           264          10560  sun.security.util.KnownOIDs (java.base@21.0.12)
 155:           439          10536  org.apache.commons.logging.LogAdapter$Slf4jLocationAwareLog
 156:           219          10512  org.antlr.v4.runtime.atn.BasicBlockStartState
 157:            50          10400  org.apache.coyote.Request
 158:           426          10224  java.util.Collections$UnmodifiableRandomAccessList (java.base@21.0.12)
 159:           459           9920  [Lsun.reflect.generics.tree.ClassTypeSignature; (java.base@21.0.12)
 160:           613           9808  org.springframework.core.convert.support.GenericConversionService$ConvertersForPair
 161:           404           9696  jdk.jfr.internal.EventControl$NamedControl (jdk.jfr@21.0.12)
 162:           402           9648  org.hibernate.validator.internal.engine.constraintvalidation.ClassBasedValidatorDescriptor
 163:           400           9600  org.apache.tomcat.util.http.MimeHeaderField
 164:           300           9600  org.h2.expression.Parameter
 165:           147           9408  java.net.URL (java.base@21.0.12)
 166:           517           9208  [Lsun.reflect.generics.tree.FormalTypeParameter; (java.base@21.0.12)
 167:            50           9200  org.apache.catalina.connector.Request
 168:           281           8992  org.antlr.v4.runtime.dfa.DFA
 169:            15           8776  [[Ljava.lang.String; (java.base@21.0.12)
 170:           547           8752  java.util.concurrent.CopyOnWriteArraySet (java.base@21.0.12)
 171:           269           8608  org.springframework.core.convert.support.GenericConversionService$ConverterAdapter
